證券代碼	簡稱	年月日	開盤價(元)	最高價(元)	最低價(元)	收盤價(元)	成交量(千股)	成交值(千元)
2317   	鴻海         	20000104	   14.42	   15.03	   14.24	   14.91	    11609	     2859370
2330   	台積電       	20000104	   36.58	   36.58	   35.97	   36.58	    35125	     6248459
2002   	中鋼         	20000104	    5.29	    5.56	    5.23	    5.56	    80122	     1929527
2317   	鴻海         	20000105	   14.72	   15.27	   14.60	   14.91	     9077	     2254107
2330   	台積電       	20000105	   36.58	   37.40	   36.17	   37.40	    70449	    12635715
2002   	中鋼         	20000105	    5.38	    5.47	    5.29	    5.38	    34124	      816637
2317   	鴻海         	20000106	   14.97	   15.27	   14.54	   14.91	    10848	     2705029
2330   	台積電       	20000106	   37.20	   37.40	   36.58	   36.58	    34579	     6197016
2002   	中鋼         	20000106	    5.49	    5.61	    5.49	    5.49	    83996	     2081279
2317   	鴻海         	20000107	   14.42	   14.72	   14.18	   14.30	     7305	     1748150
2330   	台積電       	20000107	   35.35	   35.97	   34.94	   35.55	    41182	     7102141
2002   	中鋼         	20000107	    5.61	    5.65	    5.52	    5.54	    64988	     1622646
2317   	鴻海         	20000110	   14.42	   14.85	   14.18	   14.60	     8203	     1991431
2330   	台積電       	20000110	   36.58	   36.99	   35.97	   36.79	    48342	     8595889
2002   	中鋼         	20000110	    5.83	    5.83	    5.74	    5.79	    77603	     2004817
2317   	鴻海         	20000111	   15.51	   15.51	   14.48	   14.48	    13077	     3273171
2330   	台積電       	20000111	   37.20	   37.61	   35.97	   36.17	    48622	     8716358
2002   	中鋼         	20000111	    5.85	    5.88	    5.61	    5.61	    56364	     1443221
2317   	鴻海         	20000112	   14.66	   15.33	   14.42	   15.33	    12145	     3027855
2330   	台積電       	20000112	   36.38	   37.20	   36.17	   37.20	    37852	     6782348
2002   	中鋼         	20000112	    5.65	    5.76	    5.65	    5.67	    33150	      841291
2317   	鴻海         	20000113	   15.57	   15.87	   15.21	   15.33	    20729	     5380729
2330   	台積電       	20000113	   37.20	   37.20	   36.58	   36.58	    25817	     4625944
2002   	中鋼         	20000113	    5.76	    5.92	    5.76	    5.83	    74899	     1949609
2317   	鴻海         	20000114	   15.51	   15.63	   14.72	   14.72	     8729	     2195724
2330   	台積電       	20000114	   36.99	   38.02	   36.79	   37.40	    50468	     9176538
2002   	中鋼         	20000114	    5.90	    5.90	    5.67	    5.67	    34632	      891224
2317   	鴻海         	20000115	   14.79	   15.21	   14.79	   15.09	     6523	     1629938
2330   	台積電       	20000115	   38.64	   38.84	   38.23	   38.64	    47479	     8895778
2002   	中鋼         	20000115	    5.76	    5.76	    5.65	    5.67	    16570	      420792
2317   	鴻海         	20000117	   15.21	   15.57	   15.09	   15.27	     7277	     1863443
2330   	台積電       	20000117	   39.05	   39.05	   38.43	   38.43	    27177	     5120726
2002   	中鋼         	20000117	    5.72	    5.81	    5.70	    5.74	    24359	      625313
2317   	鴻海         	20000118	   15.39	   15.45	   15.09	   15.21	     4140	     1048937
2330   	台積電       	20000118	   38.43	   38.43	   37.61	   37.81	    23044	     4258174
2002   	中鋼         	20000118	    5.79	    5.83	    5.67	    5.70	    28479	      729755
2317   	鴻海         	20000119	   15.21	   15.27	   14.79	   14.85	     4594	     1147423
2330   	台積電       	20000119	   37.81	   38.43	   37.61	   37.81	    23604	     4361593
2002   	中鋼         	20000119	    5.70	    5.72	    5.61	    5.61	    20423	      515007
2317   	鴻海         	20000120	   15.03	   15.03	   14.66	   14.97	     3031	      750145
2330   	台積電       	20000120	   37.81	   37.81	   37.20	   37.40	    22013	     4017797
2002   	中鋼         	20000120	    5.72	    5.81	    5.63	    5.65	    40046	     1022114
2317   	鴻海         	20000121	   14.97	   15.21	   14.91	   14.91	     5453	     1367610
